pairID,documentID,segmentID,hitType,source,target,sourceLemmatized,targetLemmatized,jaccardDistance,sureAlignments,possAlignments,sourceHighlights,targetHighlights,answerSureAlignments,answerPossAlignments,answerSourceHighlights,answerTargetHighlights
mtc-C:193,mtc-C:193,,test,this measure has curbed economic growth and caused the rising of unemployment rate .,this kind of measure had restrained the economic growth and made the unemployment rate go up .,this measure have curb economic growth and cause the rising of unemployment rate .,this kind of measure have restrain the economic growth and make the unemployment rate go up .,0.42105263157894735,13-16 4-7 5-8 6-9 1-3 2-4 11-12 12-13 3-5 ,{},{},{},0-0 1-3 3-5 4-7 5-8 6-9 7-10 9-14 9-15 11-12 12-13 13-16 ,2-4 ,{},{}
mtc-C:363,mtc-C:363,,test,"since the debut of this kind of aphrodisiac this April , US doctors have written out 6 million plus prescriptions of Viagra .","since the debut of this kind of aphrodisiac this April , US doctors have written out 6 million plus prescriptions of Viagra .","since the debut of this kind of aphrodisiac this april , u doctor have write out 6 million plus prescription of viagra .","since the debut of this kind of aphrodisiac this april , u doctor have write out 6 million plus prescription of viagra .",0.0,22-22 0-0 1-1 2-2 3-3 4-4 5-5 6-6 7-7 8-8 9-9 10-10 11-11 12-12 13-13 14-14 15-15 16-16 17-17 18-18 19-19 20-20 21-21 ,{},{},{},0-0 1-1 2-2 3-3 4-4 5-5 6-6 7-7 8-8 9-9 10-10 11-11 12-12 13-13 14-14 15-15 16-16 17-17 18-18 19-19 20-20 21-21 22-22 ,{},{},{}
mtc-A:146,mtc-A:146,,test,"Bank of Holland , Wuhan Office , was also officially established just recently .","Bank of Holland , Wuhan Office , was also officially established just recently .","bank of holland , wuhan office , be also officially establish just recently .","bank of holland , wuhan office , be also officially establish just recently .",0.0,13-13 0-0 1-1 2-2 3-3 4-4 5-5 6-6 7-7 8-8 9-9 10-10 11-11 12-12 ,{},{},{},0-0 1-1 2-2 3-3 4-4 5-5 6-6 7-7 8-8 9-9 10-10 11-11 12-12 13-13 ,{},{},{}
mtc-A:425,mtc-A:425,,test,"in a similar poll made about half a year after the return of Hong Kong to China , 35.9 % called themselves '' Hongkongnese '' , and 18 % called themselves Chinese .","in a similar public opinion poll that was conducted a half year after Hong Kong returned to China , 35.9 % called themselves Hong Kong people , 18 % called themselves Chinese .","in a similar poll make about half a year after the return of hong kong to china , 35.9 % call themselves '' hongkongnese '' , and 18 % call themselves chinese .","in a similar public opinion poll that be conduct a half year after hong kong return to china , 35.9 % call themselves hong kong people , 18 % call themselves chinese .",0.3939393939393939,32-32 15-16 16-17 17-18 18-19 19-20 20-21 21-22 27-27 28-28 29-29 30-30 31-31 0-0 1-1 2-2 8-11 9-12 13-13 14-14 4-8 3-5 11-15 6-10 7-9 ,{},{},{},0-0 1-1 2-2 3-5 6-10 7-9 8-11 9-12 13-13 14-14 15-16 16-17 17-18 18-19 19-20 20-21 21-22 23-23 23-24 23-25 25-26 26-26 27-27 28-28 29-29 30-30 31-31 32-32 ,10-15 11-15 12-15 ,{},{}
mtc-A:556,mtc-A:556,,test,"experts disclosed at the land reclamation conference held in Xiaoshan , Zhejiang Province that the government hopes to reclaim 1 million hectares of land from the sea along its 18,000 kilometers of coastline within 40 to 50 years .","at the filling-earth meeting in Xiaoshan , Zhejiang Province , the government wanted to fill in a million hectares of the ocean along 18,000 km of coastal areas in the next 40-50 years .","expert disclose at the land reclamation conference hold in xiaoshan , zhejiang province that the government hop to reclaim 1 million hectare of land from the sea along it 18,000 kilometer of coastline within 40 to 50 year .","at the filling-earth meeting in xiaoshan , zhejiang province , the government want to fill in a million hectare of the ocean along 18,000 km of coastal area in the next 40-50 year .",0.6444444444444444,38-33 8-4 9-5 10-6 11-7 12-8 20-17 21-18 22-19 2-0 3-1 14-10 15-11 37-32 6-3 26-21 25-20 30-24 29-23 27-22 32-26 34-31 31-25 ,{},{},{},2-0 3-1 4-2 5-2 6-3 8-4 9-5 10-6 11-7 12-8 14-10 15-11 17-13 18-14 18-15 19-16 20-17 21-18 25-20 26-21 27-22 29-23 30-24 31-25 32-26 32-27 33-28 34-31 35-31 36-31 37-32 38-33 ,16-12 ,{},{}
mtc-A:161,mtc-A:161,,test,"at the beginning , teachers of the orphanage accompanied him to school and picked him up , but from the second year , he became a resident student and went back to the orphanage only for weekends . he never missed a class , rain or shine .","at first he was taken to and from school by one of the orphanage 's teachers . by his second year he was living at the school , and only went back to the orphanage on Saturdays . neither wind nor rain could prevent him from attending class .","at the beginning , teacher of the orphanage accompany him to school and pick him up , but from the second year , he become a resident student and go back to the orphanage only for weekend . he never miss a class , rain or shine .","at first he be take to and from school by one of the orphanage 's teacher . by his second year he be live at the school , and only go back to the orphanage on saturday . neither wind nor rain could prevent him from attend class .",0.607843137254902,47-48 29-30 30-31 31-32 32-33 33-34 5-11 6-12 7-13 0-24 1-25 20-19 21-20 4-15 11-8 42-47 44-41 2-1 24-4 26-23 10-5 18-7 28-6 28-28 ,{},{},{},0-0 1-1 2-1 4-15 5-11 6-12 7-13 11-8 20-19 21-20 23-21 24-22 24-23 24-24 24-25 24-26 25-22 25-23 25-24 25-25 25-26 26-22 26-23 26-24 26-25 26-26 27-22 27-23 27-24 27-25 27-26 28-28 29-30 30-31 31-32 32-33 33-34 34-29 38-44 42-47 47-48 ,8-3 8-4 8-5 8-6 8-7 10-3 10-4 10-5 10-6 10-7 12-3 12-4 12-5 12-6 12-7 13-3 13-4 13-5 13-6 13-7 15-3 15-4 15-5 15-6 15-7 18-17 19-18 36-36 36-37 37-36 37-37 39-38 40-43 40-45 40-46 44-39 44-40 44-41 45-39 45-40 45-41 46-39 46-40 46-41 ,{},{}
mtc-A:70,mtc-A:70,,test,Dutch Trade Promotion Council establishes rep office in Wuhan,Netherlands Trade Promotion Association established a representative office in Wuhan,dutch trade promotion council establish rep office in wuhan,netherlands trade promotion association establish a representative office in wuhan,0.5384615384615384,8-9 6-7 7-8 1-1 2-2 4-4 5-6 0-0 ,{},{},{},0-0 1-1 2-2 3-3 5-6 6-7 7-8 8-9 ,4-4 ,{},{}
mtc-A:400,mtc-A:400,,test,"he said that , he is going to have meetings with the Japanese officials of the Trade Bureau to discuss the new assistance for Thailand 's industrial and agricultural reorganization .",he said he would hold separate talks with Japanese trade and industrial officials on a new aid package to support Thailand 's industrial and agricultural restructuring .,"he say that , he be go to have meeting with the japanese official of the trade bureau to discuss the new assistance for thailand 's industrial and agricultural reorganization .",he say he would hold separate talk with japanese trade and industrial official on a new aid package to support thailand 's industrial and agricultural restructuring .,0.6216216216216216,30-26 24-20 25-21 26-22 27-23 28-24 0-0 1-1 13-12 12-8 29-25 16-9 22-19 21-15 19-6 10-7 ,{},{},{},0-0 1-1 4-2 5-3 5-4 6-3 6-4 7-3 7-4 8-3 8-4 9-6 10-7 12-8 13-12 14-9 15-9 16-9 17-9 18-6 19-6 21-15 22-16 22-17 24-20 25-21 26-22 27-23 28-24 29-25 30-26 ,23-18 23-19 ,{},{}
mtc-A:183,mtc-A:183,,test,"he said that since there was no timetable for exchanging foreign money for renminbi , the financial crisis in Southeast Asia would not prolong the process .","he said that exchange under the RMB capital project had not been under any time restriction from the beginning , so there is no reason to prolong the process because of the financial crisis in Southeast Asia .","he say that since there be no timetable for exchange foreign money for renminbi , the financial crisis in southeast asia would not prolong the process .","he say that exchange under the rmb capital project have not be under any time restriction from the beginning , so there be no reason to prolong the process because of the financial crisis in southeast asia .",0.55,26-37 15-31 16-32 17-33 18-34 19-35 20-36 0-0 1-1 2-2 4-21 5-22 6-23 23-26 24-27 25-28 13-6 9-3 7-14 11-7 ,{},{},{},0-0 1-1 2-2 9-3 12-4 12-5 12-6 12-7 12-8 13-4 13-5 13-6 13-7 13-8 15-31 16-32 17-33 18-34 19-35 20-36 23-26 24-27 25-28 26-37 ,4-9 4-10 4-11 4-12 4-13 4-14 4-15 5-9 5-10 5-11 5-12 5-13 5-14 5-15 6-9 6-10 6-11 6-12 6-13 6-14 6-15 7-9 7-10 7-11 7-12 7-13 7-14 7-15 21-21 21-22 21-23 21-24 21-25 22-21 22-22 22-23 22-24 22-25 ,{},{}
mtc-A:436,mtc-A:436,,test,Japan still remains the number one trade partner followed by U.S. and Hong Kong in the second and third position .,"Japan is still the largest trading partner , followed by the United States and Hong Kong .",japan still remain the number one trade partner follow by u.s. and hong kong in the second and third position .,"japan be still the large trading partner , follow by the united state and hong kong .",0.6,20-16 11-13 12-14 13-15 8-8 9-9 0-0 7-6 3-3 6-5 1-2 ,{},{},{},0-0 1-2 2-1 3-3 4-4 5-4 6-5 7-6 8-8 9-9 10-10 10-11 10-12 11-13 12-14 13-15 20-16 ,{},{},{}
mtc-A:426,mtc-A:426,,test,different sides in Cambodia agreed to join round table discussions on national reconciliation,all the parties of Cambodia agreed to national conciliation round table meeting,different side in cambodia agree to join round table discussion on national reconciliation,all the party of cambodia agree to national conciliation round table meeting,0.6842105263157895,3-4 4-5 5-6 7-9 8-10 1-2 11-7 12-8 ,{},{},{},1-2 2-3 3-4 4-5 5-6 7-9 8-10 9-11 11-7 12-8 ,0-0 ,{},{}
mtc-A:662,mtc-A:662,,test,he said :,he said : '',he say :,he say : '',0.25,0-0 1-1 2-2 ,{},{},{},0-0 1-1 2-2 ,{},{},{}
mtc-A:286,mtc-A:286,,test,overhead railway project to re-start in Bangkok,the overhead railway project in Bangkok will restart .,overhead railway project to re-start in bangkok,the overhead railway project in bangkok will restart .,0.5454545454545454,0-1 1-2 2-3 5-4 6-5 4-7 ,{},{},{},0-1 1-2 2-3 3-6 4-7 5-4 6-5 ,{},{},{}
mtc-A:498,mtc-A:498,,test,it is the first time Pfizer will market Viagra on TV .,Dole 's ad is the first time for Pfizer to promote sales of Viagra through TV .,it be the first time pfizer will market viagra on tv .,dole 's ad be the first time for pfizer to promote sale of viagra through tv .,0.6190476190476191,11-16 1-3 2-4 3-5 4-6 10-15 5-8 8-13 ,{},{},{},1-3 2-4 3-5 4-6 5-8 6-9 7-10 8-13 9-14 10-15 11-16 ,{},{},{}
mtc-A:296,mtc-A:296,,test,I never think this will bring any effect to the development of China relations .,I 've never thought that this will have any effect on the development of Sino-US relation .,i never think this will bring any effect to the development of china relation .,i 've never think that this will have any effect on the development of sino-us relation .,0.4,14-16 9-11 10-12 11-13 1-2 2-3 3-5 4-6 6-8 7-9 13-15 ,{},{},{},0-0 1-2 2-1 2-3 3-5 4-6 5-7 6-8 7-9 8-10 9-11 10-12 11-13 13-15 14-16 ,12-14 ,{},{}
mtc-A:612,mtc-A:612,,test,"it is understood : the 19 years old Ding Hao is the first university student that is an orphan , with disability and brought up in an institute of children 's welfare in China .","it is known that Ding Hao , 19 years old in this year , is the first handicapped university student in new China who was adopted by and grew up in Welfare Institute .","it be understood : the 19 year old ding hao be the first university student that be an orphan , with disability and bring up in an institute of child 's welfare in china .","it be know that ding hao , 19 year old in this year , be the first handicap university student in new china who be adopt by and grow up in welfare institute .",0.4736842105263158,34-33 5-7 6-8 7-9 10-14 11-15 12-16 0-0 1-1 8-4 9-5 13-18 14-19 24-29 25-30 2-2 31-31 27-32 33-22 21-17 32-20 ,{},{},{},0-0 1-1 2-2 3-3 5-7 6-8 7-9 8-4 9-5 10-14 11-15 12-16 13-18 14-19 15-23 20-17 21-17 22-27 23-28 24-29 25-30 27-32 31-31 32-20 33-22 34-33 ,16-24 16-25 17-24 17-25 18-24 18-25 ,{},{}
mtc-A:432,mtc-A:432,,test,"in his statement , 75-year-old Dole said : '' I believe that this activity will help men pay attention to the problem of health that they are afraid to discuss about '' .","75-year-old Dorr said in the statement '' , I believe this movement can help men pay attention to the health problems that they fear to discuss '' .","in his statement , 75-year-old dole say : '' i believe that this activity will help men pay attention to the problem of health that they be afraid to discuss about '' .","75-year-old dorr say in the statement '' , i believe this movement can help men pay attention to the health problem that they fear to discuss '' .",0.38235294117647056,32-27 15-13 16-14 17-15 18-16 19-17 20-18 9-8 10-9 24-21 25-22 28-24 29-25 31-26 21-20 23-19 4-0 6-2 8-6 27-23 2-5 0-3 ,{},{},{},0-3 2-5 3-7 4-0 5-1 6-2 8-6 9-8 10-9 12-10 13-11 14-12 15-13 16-14 17-15 18-16 19-17 20-18 21-20 23-19 24-21 25-22 26-23 27-23 28-24 29-25 31-26 32-27 ,1-4 ,{},{}
mtc-A:262,mtc-A:262,,test,"in other industries , the food and beverage index for August is down 4.5 percent in comparison to the same period for last year . this is the seventh month since February of 1998 that the index has fallen .","furthermore , the catering trade index in August is also 4.5 % down the period last year , and this is continuously the 7th month since February 1998 that witnesses the drop of it .","in other industry , the food and beverage index for august be down 4.5 percent in comparison to the same period for last year . this be the seventh month since february of 1998 that the index have fall .","furthermore , the cater trade index in august be also 4.5 % down the period last year , and this be continuously the 7th month since february 1998 that witness the drop of it .",0.5238095238095238,39-34 29-24 30-25 31-26 3-1 4-2 10-7 11-8 22-15 23-16 25-19 26-20 33-27 34-28 14-11 8-5 12-12 20-14 18-13 28-23 13-10 2-4 16-29 38-31 27-22 ,{},{},{},4-2 5-3 5-4 6-3 6-4 7-3 7-4 8-5 9-6 10-7 11-8 12-12 13-10 14-11 18-13 20-14 22-15 23-16 25-19 26-20 27-22 28-23 29-24 30-25 31-26 33-27 34-28 36-33 39-34 ,24-17 37-29 37-30 37-31 38-29 38-30 38-31 ,{},{}
mtc-A:170,mtc-A:170,,test,he obviously meant the Cambodia was very close to joining of ASEAN in April of 1997 .,he was referring to what happened in April 1997 when Cambodia was about to join ASEAN .,he obviously mean the cambodia be very close to joining of asean in april of 1997 .,he be refer to what happen in april 1997 when cambodia be about to join asean .,0.5909090909090908,16-16 4-10 5-11 12-6 13-7 9-14 11-15 15-8 2-2 8-3 ,{},{},{},0-0 2-1 2-2 4-10 6-12 7-12 8-13 9-14 11-15 12-6 13-7 15-8 16-16 ,{},{},{}
mtc-A:87,mtc-A:87,,test,"Sacasa expressed to American TV station that it would need about one billion US dollars to rebuild Nicaragua . he urged America and other creditor nations to make an integral economic assistance scheme , something like Marshall plan that helped Western Europe 's reconstruction after the Second World War .",the ambassador indicated to a U.S. television station that the reconstruction of Nicaragua requires about US$ 1 billion . he urged U.S. and other creditors nations to formulate an integral economic aid package similar to the Marshall Plan that helped rebuild Western Europe after the war .,"sacasa express to american tv station that it would need about one billion u dollar to rebuild nicaragua . he urge america and other creditor nation to make an integral economic assistance scheme , something like marshall plan that help western europe 's reconstruction after the second world war .",the ambassador indicate to a u.s. television station that the reconstruction of nicaragua require about u $ 1 billion . he urge u.s. and other creditor nation to formulate an integral economic aid package similar to the marshall plan that help rebuild western europe after the war .,0.5423728813559322,49-47 22-23 23-24 24-25 25-26 26-27 36-37 37-38 38-39 39-40 18-19 19-20 20-21 28-29 29-30 30-31 5-7 6-8 40-42 41-43 44-44 45-45 48-46 27-28 1-2 9-13 4-6 12-18 13-15 11-17 14-16 3-5 21-22 31-32 43-41 17-12 16-10 35-34 10-14 2-3 ,{},{},{},0-0 0-1 1-2 2-3 3-5 4-6 5-7 6-8 10-14 11-16 12-17 13-15 14-15 17-12 18-18 19-19 20-20 21-21 22-22 23-23 24-24 25-25 26-26 27-27 28-28 29-29 30-30 31-31 34-33 34-34 35-33 35-34 36-36 37-37 38-38 39-39 40-41 41-42 44-43 45-44 48-45 49-46 ,8-13 9-13 15-10 15-11 16-10 16-11 43-40 ,{},{}
mtc-A:236,mtc-A:236,,test,National Front Youth League is making the world biggest strips of cloth in support for state leaders,National Front Youth League will make the world 's largest banner to support the state leader,national front youth league be make the world big strip of cloth in support for state leader,national front youth league will make the world 's large banner to support the state leader,0.5454545454545454,16-15 0-0 1-1 2-2 3-3 5-5 6-6 7-7 15-14 13-12 8-9 ,{},{},{},0-0 1-1 2-2 3-3 4-4 5-5 6-6 7-7 8-9 13-12 15-14 16-15 ,9-10 9-11 10-10 10-11 11-10 11-11 ,{},{}
mtc-A:370,mtc-A:370,,test,Israeli security officials saw the special plane of Arafat taking off for Paris from the runway on Wednesday .,"on Wednesday , Israeli security officials saw Arafat 's plane off , which was destined for Paris .",israeli security official saw the special plane of arafat take off for paris from the runway on wednesday .,"on wednesday , israeli security official saw arafat 's plane off , which be destine for paris .",0.4782608695652174,18-17 0-3 1-4 2-5 3-6 16-0 17-1 11-15 12-16 8-7 6-9 ,{},{},{},0-3 1-4 2-5 3-6 4-8 6-9 7-8 8-7 10-14 11-15 12-16 16-0 17-1 18-17 ,6-12 ,{},{}
mtc-A:355,mtc-A:355,,test,above is the integrate report of VOA correspondent Nin Xin .,this is the report from VOA journalist Ning Xin .,above be the integrate report of voa correspondent nin xin .,this be the report from voa journalist ning xin .,0.6,10-9 1-1 2-2 9-8 7-6 6-5 4-3 ,{},{},{},1-1 2-2 4-3 5-4 6-5 7-6 8-7 9-8 10-9 ,{},{},{}
mtc-A:348,mtc-A:348,,test,the most common conditions are that many government officials who administrate an industry also take charge of the enterprises in the same industry .,it is common to see government officials in charge of certain industries at the same time running enterprises in those same industries .,the most common condition be that many government official who administrate an industry also take charge of the enterprise in the same industry .,it be common to see government official in charge of certain industry at the same time run enterprise in those same industry .,0.5862068965517242,23-22 21-20 22-21 7-5 8-6 15-8 16-9 20-13 18-17 19-18 12-11 2-2 ,{},{},{},2-2 4-1 7-5 8-6 10-7 10-8 10-9 10-11 11-7 11-8 11-9 11-11 12-7 12-8 12-9 12-11 13-12 13-13 13-14 13-15 14-16 15-16 16-16 18-17 19-18 21-20 22-21 23-22 ,0-0 20-19 ,{},{}
mtc-A:220,mtc-A:220,,test,"he said that the UN still recognize Portugal as legal trustee of East Timor , which helps their request to extradite Soeharto .","he said that the UN still regards Portugal as the legitimate administrative country of East Timor , which is helpful to their request to extradite Suhatou .","he say that the un still recognize portugal a legal trustee of east timor , which help their request to extradite soeharto .","he say that the un still regard portugal a the legitimate administrative country of east timor , which be helpful to their request to extradite suhatou .",0.4,22-26 0-0 1-1 2-2 3-3 4-4 5-5 11-13 12-14 13-15 14-16 15-17 17-21 18-22 19-23 20-24 7-7 8-8 16-19 9-10 ,{},{},{},0-0 1-1 2-2 3-3 4-4 5-5 6-6 7-7 8-8 9-10 10-11 11-13 12-14 13-15 14-16 15-17 16-18 16-19 16-20 17-21 18-22 19-23 20-24 21-25 22-26 ,{},{},{}
mtc-A:552,mtc-A:552,,test,"according to western embassies , the figure was quite close to that they had estimated .",the Western embassies said this figure is very close to what they have estimated .,"accord to western embassy , the figure be quite close to that they have estimate .",the western embassy say this figure be very close to what they have estimate .,0.42105263157894735,15-14 12-11 13-12 14-13 2-1 3-2 6-5 7-6 9-8 10-9 ,{},{},{},2-1 3-2 6-5 8-7 9-8 10-9 11-10 12-11 13-12 13-13 14-12 14-13 15-14 ,0-3 1-3 5-4 7-6 ,{},{}
mtc-A:477,mtc-A:477,,test,"Fenglingdu Economic Zone was the only one based in a town , and it 's the new passageway for the inland Shanxi Province .","Fenglingdu Economic Development Zone is the only development zone based on a small town , and is also a new channel connecting Shanxi , an inland province , with the outside world .","fenglingdu economic zone be the only one base in a town , and it 's the new passageway for the inland shanxi province .","fenglingdu economic development zone be the only development zone base on a small town , and be also a new channel connecting shanxi , an inland province , with the outside world .",0.5,23-32 2-3 3-4 4-5 5-6 10-13 11-14 12-15 0-0 1-1 7-9 20-25 21-22 22-26 16-19 9-11 ,{},{},{},0-0 1-1 2-3 4-5 5-6 6-8 7-9 8-10 9-11 10-13 11-14 12-15 14-16 16-19 17-20 18-21 20-25 21-22 22-26 23-32 ,3-4 15-18 19-24 ,{},{}
mtc-A:346,mtc-A:346,,test,and Asia had just stepped into its initial stage of recovery,Asia 's economic revival is in its beginning phase .,and asia have just step into it initial stage of recovery,asia 's economic revival be in it beginning phase .,0.8947368421052632,7-7 1-0 4-8 10-3 6-6 ,{},{},{},1-0 2-4 2-5 4-4 4-5 5-4 5-5 6-6 7-7 8-8 10-3 ,{},{},{}
mtc-A:391,mtc-A:391,,test,"but in most cases , they are released soon .",but in most cases they were freed soon .,"but in most case , they be release soon .",but in most case they be free soon .,0.2727272727272727,9-8 0-0 1-1 2-2 3-3 5-4 6-5 8-7 7-6 ,{},{},{},0-0 1-1 2-2 3-3 5-4 6-5 7-6 8-7 9-8 ,{},{},{}
mtc-A:80,mtc-A:80,,test,the money people spent on eating out increased from 245 million Singapore dollars in July to 248 million Singapore dollars in August .,the money spent on food and drink increased from RMB 245 million in July to RMB 248 million .,the money people spend on eat out increase from 245 million singapore dollar in july to 248 million singapore dollar in august .,the money spend on food and drink increase from rmb 245 million in july to rmb 248 million .,0.4347826086956522,22-18 13-12 14-13 15-14 0-0 1-1 3-2 4-3 7-7 8-8 9-10 10-11 16-16 17-17 5-4 ,{},{},{},0-0 1-1 3-2 4-3 5-4 7-7 8-8 9-10 10-11 11-9 12-9 13-12 14-13 15-14 16-16 17-17 18-15 19-15 22-18 ,{},{},{}
mtc-A:607,mtc-A:607,,test,-lrb- AFP report from Detroit -rrb- the 107-year-old Hudson building in Detroit turned into a heap of ruins in 30 seconds the day before yesterday .,-lrb- Agence France Presse wire Detroit -rrb- the 107-year-old Hudson building was reduced to rubble in 30 seconds the day before yesterday .,-lrb- afp report from detroit -rrb- the 107-year-old hudson building in detroit turn into a heap of ruin in 30 second the day before yesterday .,-lrb- agence france presse wire detroit -rrb- the 107-year-old hudson building be reduce to rubble in 30 second the day before yesterday .,0.5483870967741935,25-22 18-15 19-16 20-17 21-18 22-19 23-20 24-21 4-5 5-6 6-7 7-8 8-9 9-10 17-14 1-2 ,{},{},{},0-0 1-1 1-2 1-3 2-4 4-5 5-6 6-7 7-8 8-9 9-10 17-14 18-15 19-16 20-17 21-18 22-19 23-20 24-21 25-22 ,12-11 12-12 12-13 13-11 13-12 13-13 ,{},{}
mtc-A:116,mtc-A:116,,test,China will continue implementing the financial opening up policy,China will carry on open financial policy,china will continue implement the financial open up policy,china will carry on open financial policy,0.5454545454545454,8-6 0-0 1-1 2-2 5-5 6-4 ,{},{},{},0-0 1-1 2-2 2-3 5-5 6-4 8-6 ,{},{},{}
mtc-A:47,mtc-A:47,,test,"of these , Chinese investment currently accounts for 50 percent of financial insurance , 50-70 percent of the travel industry , 30 percent of imports and exports , and 70 percent of real estate .","in particular , China enterprises now account for about 50 % of finance and insurance services , 50 % to 70 % of travel and tourism , 30 % of import and export , and 70 % of real estate .","of these , chinese investment currently account for 50 percent of financial insurance , 50-70 percent of the travel industry , 30 percent of import and export , and 70 percent of real estate .","in particular , china enterprise now account for about 50 % of finance and insurance service , 50 % to 70 % of travel and tourism , 30 % of import and export , and 70 % of real estate .",0.5714285714285714,34-40 23-29 24-30 25-31 26-32 27-33 28-34 29-35 31-37 32-38 33-39 6-6 7-7 20-26 21-27 9-10 8-9 15-21 22-28 30-36 11-12 18-25 12-14 3-3 19-4 14-17 14-20 10-11 16-22 2-2 13-16 ,{},{},{},0-0 1-1 2-2 3-3 5-5 6-6 7-7 8-9 9-10 10-11 13-16 14-17 14-18 14-19 14-20 14-21 15-17 15-18 15-19 15-20 15-21 18-23 20-26 21-27 22-28 23-29 24-30 25-31 26-32 27-33 28-34 29-35 30-36 31-37 32-38 33-39 34-40 ,4-4 11-12 11-13 11-14 12-12 12-13 12-14 ,{},{}
mtc-A:242,mtc-A:242,,test,"the foreign investment scope is developing rapidly towards new building material , new and high technology , and deep processing of building materials etc. .","the domain of foreign investment made further development in the areas of new building materials , high technology and processing industry of building materials .","the foreign investment scope be develop rapidly towards new build material , new and high technology , and deep processing of building material etc . .","the domain of foreign investment make far development in the area of new building material , high technology and processing industry of building material .",0.5357142857142857,25-24 20-21 21-22 22-23 1-3 2-4 10-14 11-15 14-16 15-17 3-10 0-9 9-13 8-12 5-7 19-19 17-18 ,{},{},{},0-0 1-3 2-4 3-1 7-6 8-12 9-13 10-14 11-15 14-16 15-17 17-18 19-19 20-21 21-22 22-23 24-24 ,4-5 4-7 5-5 5-7 ,{},{}
mtc-A:91,mtc-A:91,,test,"the document said that the activities of Malaysia to try to inhabit the reef beach belonged to the Philippines might affect the security of the Philippines , because the reef beach 's location near the Balawang Island of the Philippines .",the document said that Malaysia 's attempt to occupy the coral reef is a threat to Philippines security because the geographic location of the reef is quite close to Philippines ' Palawan Island .,"the document say that the activity of malaysia to try to inhabit the reef beach belong to the philippine might affect the security of the philippine , because the reef beach 's location near the balawang island of the philippine .",the document say that malaysia 's attempt to occupy the coral reef be a threat to philippines security because the geographic location of the reef be quite close to philippine ' palawan island .,0.5945945945945945,40-33 0-0 1-1 2-2 3-3 27-18 28-19 23-22 24-23 13-24 25-16 22-17 32-21 36-32 39-29 7-4 9-6 29-11 33-27 10-7 ,{},{},{},0-0 1-1 2-2 3-3 4-5 6-5 7-4 9-6 10-7 11-8 12-9 13-10 13-11 14-10 14-11 19-12 19-13 19-14 19-15 20-12 20-13 20-14 20-15 22-17 25-16 27-18 29-24 31-22 31-23 32-21 33-27 35-31 36-32 37-30 38-30 39-29 40-33 ,{},{},{}
mtc-A:131,mtc-A:131,,test,"earlier , Russia called back its ambassadors to the United States and the United Kingdom in protest against the military actions taken by the two countries .","earlier , Russia recalled its ambassadors to the United States and England in protest of those countries ' military actions .","earlier , russia call back it ambassador to the united state and the united kingdom in protest against the military action take by the two country .","earlier , russia recall it ambassador to the united state and england in protest of those country ' military action .",0.4285714285714286,26-20 5-4 6-5 7-6 8-7 9-8 10-9 11-10 0-0 1-1 2-2 15-12 16-13 19-18 20-19 25-16 ,{},{},{},0-0 1-1 2-2 3-3 4-3 5-4 6-5 7-6 8-7 9-8 10-9 11-10 15-12 16-13 18-17 19-18 20-19 21-17 22-17 25-16 26-20 ,12-11 13-11 14-11 23-15 ,{},{}
mtc-A:273,mtc-A:273,,test,the Chief Minister of Sarawak thought Anwar very possibly guilty of sodomy,head of Shalaoye Province : Anwar likely guilty of sodomy,the chief minister of sarawak thought anwar very possibly guilty of sodomy,head of shalaoye province : anwar likely guilty of sodomy,0.75,11-9 9-7 10-8 8-6 6-5 1-0 ,{},{},{},3-1 6-5 8-6 9-7 10-8 11-9 ,1-0 2-0 4-2 ,{},{}
mtc-A:491,mtc-A:491,,test,"however , Moore said Habibie refused to allow former head of Australia 's Criminal Investigation Bureau Sherman to go to East Timor for the investigation of the death of five Australian journalists in 1975 .","however , Moore said that Habibie refused to let Sherman , former director of the National Bureau of Criminal Investigation of Australia , go to East Timor to conduct investigations on the deaths of five Australian journalists in 1975 .","however , moore say habibie refuse to allow former head of australia 's criminal investigation bureau sherman to go to east timor for the investigation of the death of five australian journalist in 1975 .","however , moore say that habibie refuse to let sherman , former director of the national bureau of criminal investigation of australia , go to east timor to conduct investigation on the death of five australian journalist in 1975 .",0.2857142857142857,34-39 26-31 27-32 28-33 29-34 30-35 31-36 32-37 33-38 0-0 1-1 2-2 3-3 18-23 19-24 20-25 21-26 4-5 5-6 6-7 10-20 11-21 13-18 14-19 25-13 7-8 9-12 8-11 15-16 24-29 16-9 ,{},{},{},0-0 1-1 2-2 3-3 4-5 5-6 6-7 7-8 8-11 9-12 10-13 11-21 12-14 12-20 13-18 14-19 15-16 16-9 18-23 19-24 20-25 21-26 24-29 25-30 26-31 27-32 28-33 29-34 30-35 31-36 32-37 33-38 34-39 ,22-27 22-28 ,{},{}
