source,target,docID,type,sureAlignments,possAlignments,sourceHighlights,targetHighlights,answerSureAlignments1,answerPossAlignments1,answerSourceHighlights1,answerTargetHighlights1
this airports security is the responsibility of the Israeli security officials .,Israel presides over the security of the airport .,mtc-C:545,test,11-8 6-5 7-6 1-7 2-4 8-0 ,{},{},{},1-5 1-6 1-7 2-4 11-8 ,3-1 3-2 4-1 4-2 5-1 5-2 6-1 6-2 8-0 9-0 10-0 ,{},{}
South Korea National Security Plot Bureau stated that 67-year-old Kim Fuki and 71-year-old Park Dong Il had recently returned to South Korea through the third country .,the national security planning Bureau said in a statement that 67-year-old Kim Fu-ji and 71-year-old Park Dung-yi recently returned home via a third country .,mtc-C:323,test,26-24 7-9 8-10 9-11 11-13 12-14 13-15 24-22 25-23 2-1 3-2 17-17 18-18 6-5 5-4 ,{},{},{},2-1 3-2 4-3 5-4 6-5 6-6 6-7 6-8 7-9 8-10 9-11 11-13 12-14 13-15 17-17 18-18 22-20 23-21 24-22 25-23 26-24 ,10-12 14-16 15-16 19-19 20-19 21-19 ,{},{}
South Korea also expressed its support for the joint air strikes conducted by the U.S. and Britain .,Korea also expressed its position on supporting the united air raid by the US and Britain .,mtc-C:483,test,17-16 1-0 2-1 3-2 4-3 15-14 16-15 12-11 13-12 0-0 10-10 7-7 8-8 9-9 14-13 5-6 ,{},{},{},0-0 1-0 2-1 3-2 4-3 7-7 8-8 9-9 10-10 12-11 13-12 14-13 15-14 16-15 17-16 ,5-6 ,{},{}
"at first he was sent to and from school by teachers at orphanage , and from the second grade on he lived in the school , and returns to orphanage every Saturday . no matter how much wind or rain , he never missed a single class .","at the beginning , teachers of the orphanage accompanied him to school and picked him up , but from the second year , he became a resident student and went back to the orphanage only for weekends . he never missed a class , rain or shine .",mtc-C:341,test,47-47 41-38 42-39 43-40 44-41 15-18 16-19 17-20 40-22 46-42 18-21 12-7 10-4 29-33 27-30 8-11 39-44 1-2 21-26 0-0 5-10 28-31 ,{},{},{},0-0 0-1 0-2 1-0 1-1 1-2 10-4 11-5 11-6 12-7 14-17 15-18 16-19 17-20 18-21 20-23 21-24 21-25 21-26 21-27 22-24 22-25 22-26 22-27 23-24 23-25 23-26 23-27 24-24 24-25 24-26 24-27 26-28 28-31 29-33 32-37 33-44 33-45 33-46 34-44 34-45 34-46 35-44 35-45 35-46 36-44 36-45 36-46 37-44 37-45 37-46 38-44 38-45 38-46 39-44 39-45 39-46 41-38 42-39 43-40 44-41 46-42 47-47 ,2-8 2-9 2-10 2-11 2-12 2-13 2-14 2-15 3-8 3-9 3-10 3-11 3-12 3-13 3-14 3-15 4-8 4-9 4-10 4-11 4-12 4-13 4-14 4-15 5-8 5-9 5-10 5-11 5-12 5-13 5-14 5-15 6-8 6-9 6-10 6-11 6-12 6-13 6-14 6-15 7-8 7-9 7-10 7-11 7-12 7-13 7-14 7-15 8-8 8-9 8-10 8-11 8-12 8-13 8-14 8-15 27-29 27-30 30-35 30-36 31-35 31-36 ,{},{}
"the Harrison building was once the largest retail store in the world , and also was a Detroit attraction .","the Hudson building was at one time the world 's largest retail store , and was a landmark in Detroit .",mtc-C:71,test,19-20 6-10 7-11 8-12 2-2 3-3 10-7 11-8 12-13 13-14 15-15 16-16 17-19 0-0 ,{},{},{},0-0 2-2 3-3 4-4 4-5 4-6 5-9 6-10 7-11 8-12 9-9 10-7 11-8 12-13 13-14 15-15 16-16 17-19 18-17 19-20 ,1-1 ,{},{}
foreign cooperation in China construction material industry developing smoothly,Chinese building materials industry developing quickly through outward cooperation,mtc-C:482,test,6-3 7-4 5-2 1-8 0-7 4-1 3-0 ,{},{},{},0-7 1-8 4-1 5-2 6-3 7-4 8-5 ,2-0 3-0 ,{},{}
"in a similar research conducted six months after Hong Kong reverted to China , 35.9 % called themselves '' Hong Kong People '' and 18 % called themselves '' Chinese '' .","in a similar investigation did at half a year after Hong Kong 's returning to China , 40 % of them call themselves as '' Hongkongnese '' , and 18 % as Chinese .",mtc-C:15,test,31-33 0-0 1-1 2-2 7-9 8-10 9-11 11-14 12-15 13-16 23-28 24-29 25-30 16-21 17-22 10-13 3-3 15-18 28-24 22-26 29-32 ,{},{},{},0-0 1-1 2-2 3-3 5-6 5-7 5-8 6-6 6-7 6-8 7-9 8-10 9-11 10-13 11-14 12-15 13-16 15-18 17-22 18-24 19-25 20-25 21-25 22-26 23-28 24-29 25-30 29-32 31-33 ,14-17 16-21 26-21 27-22 ,{},{}
"after the chaos in May , the businessman who managed electrical products was forced to move his shop .",businessman running electronic products there had to move out after the riot in May .,mtc-C:249,test,18-14 14-6 15-7 0-9 1-10 3-12 4-13 9-1 11-3 10-2 7-0 ,{},{},{},0-9 1-10 2-11 3-12 4-13 7-0 8-1 9-1 10-2 11-3 12-5 12-6 13-5 13-6 14-5 14-6 15-7 18-14 ,16-8 17-8 ,{},{}
and they would never let the Hopewell Group take part in it .,"however , under any circumstances , Hopewell will not be allowed to get involved again .",mtc-C:104,test,12-15 6-6 4-10 8-12 ,{},{},{},0-0 2-7 3-2 3-3 3-4 3-8 4-9 4-10 5-6 6-6 7-6 8-12 8-13 9-12 9-13 10-12 10-13 12-15 ,{},{},{}
the Clinton government said that the increased funds for research was the biggest and final public investment for the research of AIDS .,the Clinton government said that after the provision the research fund will be the biggest investment of American public funds in AIDS research .,mtc-C:180,test,22-23 0-0 1-1 2-2 3-3 4-4 11-13 12-14 18-8 19-9 7-10 9-22 21-21 15-18 16-15 10-12 ,{},{},{},0-0 1-1 2-2 3-3 4-4 5-8 7-10 9-9 11-13 12-14 15-18 16-15 17-20 19-22 21-21 22-23 ,6-5 6-6 6-7 10-11 10-12 ,{},{}
"he said , the law is just , I believe he will be released if he is innocent ,","he said '' , law is fair ... if he is innocent , I believe he will be released .",mtc-C:452,test,7-12 8-13 9-14 10-15 11-16 12-17 13-18 14-8 15-9 16-10 17-11 0-0 1-1 4-4 5-5 ,{},{},{},0-0 1-1 2-2 4-4 5-5 6-6 8-13 9-14 10-15 11-16 12-17 13-18 14-8 15-9 16-10 17-11 18-12 18-19 ,{},{},{}
a person from the Railroad Ministry indicated that this network construction is part of a national railway hub communication modification project .,"as explained by officials from the Ministry of Railroad , the construction of this communication network is a part of the reform project on national railroad communication networks .",mtc-C:65,test,21-28 2-4 3-5 12-18 13-19 4-8 5-6 4-7 5-7 9-15 10-11 20-22 15-24 18-26 16-25 6-1 11-16 ,{},{},{},1-3 2-4 3-5 4-8 5-6 6-1 8-10 9-15 10-11 11-16 12-18 13-19 15-24 16-25 18-26 19-21 20-22 21-28 ,9-27 14-20 ,{},{}
"the annually issued prize covers five aspects and is awarded to individuals and organizations making outstanding contributions in government service , public service , communication leader , news , literature and creative art of communication and international understanding fields .","the award , consisting of five fields , is awarded annually and respectively to individuals and bodies that have made outstanding contributions in such fields as government service , public service , community leadership , journalism and literature , creative exchange art and international understanding .",mtc-C:613,test,39-45 18-26 19-27 20-28 21-29 22-30 23-31 10-13 11-14 12-15 15-20 16-21 17-22 35-42 36-43 37-44 8-8 9-9 14-19 32-41 31-39 3-1 0-0 13-16 25-33 1-10 29-37 5-5 38-6 33-4 26-34 ,{},{},{},0-0 1-10 3-1 4-3 5-5 6-6 7-7 8-8 9-9 10-13 11-14 12-15 15-20 16-21 17-22 18-26 19-27 20-28 21-29 22-30 23-31 26-34 27-35 28-36 29-37 30-38 31-39 32-41 34-40 35-42 36-43 37-44 39-45 ,14-17 14-18 14-19 24-32 25-33 ,{},{}
Sassar stated that Ardalas guaranteed that the number of Indonesian troops stationed in East Timor would be gradually reduced .,"Cesar said , Alatas once promised to gradually reduce Indonesia 's military presence in East Timor .",mtc-C:85,test,19-16 12-13 13-14 14-15 18-8 17-7 10-11 9-9 1-1 ,{},{},{},1-1 4-5 10-11 12-13 13-14 14-15 17-7 18-8 19-16 ,0-0 3-3 9-9 9-10 11-12 ,{},{}
the Chief of Sarawak thought Anwar might have committed crimes including sodomy,Chief Minister of Sarawak believes Anwar may have committed sodomy and other crimes,mtc-C:124,test,2-2 3-3 7-7 8-8 5-5 4-4 1-1 11-9 9-12 ,{},{},{},1-0 2-2 3-3 5-5 7-7 8-8 9-12 10-10 10-11 11-9 ,1-1 4-4 6-6 ,{},{}
"besides , the situation for Gansu to open to the outside was fine .","additionally , Gansu is opening up well to foreign development .",mtc-C:38,test,13-10 5-2 7-4 10-8 12-6 0-0 1-1 ,{},{},{},0-0 1-1 5-2 7-3 7-4 7-5 8-7 13-10 ,9-8 9-9 10-8 10-9 12-6 ,{},{}
"French Ministry of Foreign Affair said , it was Iraqi leader 's refusal of co-operation with UN that resulted in this deeply regret ending .","French Foreign Ministry said that because the leader of Iraq refused to cooperate with UN , which resulted in this very pitiful ending .",mtc-C:165,test,24-23 18-17 19-18 20-19 15-13 16-14 23-22 3-1 3-2 5-3 0-0 12-10 10-7 9-9 14-12 ,{},{},{},0-0 1-2 3-1 4-1 5-3 10-7 11-6 11-8 15-13 16-14 17-16 18-17 19-18 20-19 21-20 22-21 23-22 24-23 ,9-9 12-10 14-12 ,{},{}
11 Fujian township enterprises have been listed among the national best economic efficiency of township businesses in China .,Fujian Province already has eleven village and township enterprises that have made it into the ranks of the '' Most Economically Profitable Village and Township Enterprises '' of China .,mtc-C:115,test,18-29 2-7 3-8 17-28 1-0 1-1 14-24 15-25 0-4 11-20 ,{},{},{},0-4 1-0 1-1 2-7 3-8 4-10 4-11 4-12 4-13 4-14 4-15 4-16 5-10 5-11 5-12 5-13 5-14 5-15 5-16 6-10 6-11 6-12 6-13 6-14 6-15 6-16 7-10 7-11 7-12 7-13 7-14 7-15 7-16 8-17 10-19 14-24 15-25 16-27 17-28 18-29 ,11-20 12-21 ,{},{}
I have repeated several times in this regard that special attention must be paid to the proper handling of the Taiwan issue .,"I think we have talked about it many times . in this respect , special attention should be given to handling properly the issue of Taiwan .",mtc-C:137,test,22-26 5-10 6-11 9-14 10-15 20-25 13-18 12-17 21-23 19-22 4-8 3-7 7-12 16-21 17-20 0-0 14-19 ,{},{},{},0-0 1-3 3-7 4-8 5-10 6-11 7-12 8-13 9-14 10-15 11-16 12-17 13-18 14-19 16-21 17-20 18-24 19-22 20-25 21-23 22-26 ,2-4 2-5 2-6 ,{},{}
"in fact , the whole fourth phase consists of four districts , totally 174 units , including independent , semi-independent foreign style house , row houses , and storefront houses .","the fourth stage actually divides into 4 areas , 174 units of independent and semi-detached traditional style houses , western style houses and shop fronts .",mtc-C:209,test,30-25 13-9 14-10 25-17 26-18 6-2 3-0 5-1 21-16 22-21 10-7 9-6 17-12 28-23 11-8 27-22 ,{},{},{},0-3 1-3 3-0 5-1 6-2 7-4 7-5 8-4 8-5 9-6 10-7 11-8 13-9 14-10 16-11 17-12 18-13 19-14 21-16 22-17 23-18 25-21 27-22 30-25 ,20-15 24-19 24-20 28-23 28-24 29-23 29-24 ,{},{}
human right organizations censured for the violation of human right by Indonesian armed forces in East Timor .,human rights organization condemned Indonesian troops ' infringing behaviors upon human rights in East Timor .,mtc-C:210,test,17-15 14-12 15-13 16-14 11-4 2-2 0-0 9-11 8-10 13-5 1-1 ,{},{},{},0-0 1-1 2-2 3-3 8-10 9-11 11-4 12-5 13-5 14-12 15-13 16-14 17-15 ,6-7 ,{},{}
fossils of dinosaur bones found in Xixia of Henan,dinosaur fossils found in Henan Xixia .,mtc-C:204,test,4-2 5-3 6-5 8-4 2-0 0-1 ,{},{},{},0-1 2-0 4-2 5-3 6-5 8-4 ,{},{},{}
"last year , the total import and export volumn in this province was close to 20 billion US dollars , actual utilization of foreign investment exceeded 4 billion US dollars , foreign contracted projects and labour service co-operation amounted 355 million US dollars .","gross foreign trade import-exports for this province reached US$ 20 billion last year , actually employed foreign capital exceeded US$ 4.1 billion , and the total amount of foreign contract engineering and labour cooperation reached US$ 355 million .",mtc-C:246,test,43-38 0-11 1-12 2-13 10-5 11-6 15-9 16-10 3-24 4-25 22-27 23-28 34-31 35-32 39-36 40-37 38-34 37-33 24-17 25-18 32-29 33-30 20-14 28-15 27-21 31-16 5-3 ,{},{},{},0-11 1-12 4-0 5-3 6-3 7-3 9-4 10-5 11-6 12-7 13-7 14-7 15-9 16-10 17-8 18-8 19-13 20-14 23-16 24-17 25-18 27-21 28-19 29-19 30-22 31-28 32-29 33-30 34-31 35-32 37-33 38-26 38-34 39-36 40-37 41-35 42-35 43-38 ,21-15 26-20 ,{},{}
but the worst influence has appeared and it will last to next year .,"but the worst effects have already appeared , and will continue into next year .",mtc-C:279,test,13-14 0-0 1-1 2-2 11-12 12-13 5-6 3-3 4-4 9-10 6-8 8-9 ,{},{},{},0-0 1-1 2-2 3-3 4-4 5-6 6-8 8-9 9-10 10-11 11-12 12-13 13-14 ,{},{},{}
I think the effect issue is purely a U.S. domestic issue .,'' I think this issue is absolutely an internal issue of the United States of America .,mtc-C:429,test,11-16 0-1 1-2 4-4 5-5 10-9 7-7 9-8 8-15 ,{},{},{},0-1 1-2 4-4 5-5 6-6 7-7 9-8 10-9 11-16 ,2-3 3-3 8-12 8-13 8-14 8-15 ,{},{}
this shows that it is an urgent task to strengthen their market competitiveness .,this indicated that accelerating the marketing competitiveness of the state-owned enterprises has become urgent .,mtc-C:52,test,13-14 1-1 0-0 11-5 12-6 6-13 2-2 ,{},{},{},0-0 2-2 9-3 12-6 13-14 ,1-1 3-11 3-12 3-13 4-11 4-12 4-13 5-11 5-12 5-13 6-11 6-12 6-13 7-11 7-12 7-13 10-4 11-5 ,{},{}
"Ding Hao finished his primary school at the Children 's Orphanage . soon afterwards , he enrolled in a secondary school in a nearby village .",Ding Hao attended primary school in the institute of welfare . he then attended junior high in a nearby rural high school .,mtc-C:227,test,25-22 21-16 22-17 23-18 0-0 1-1 4-3 5-4 20-21 19-20 24-19 ,{},{},{},0-0 1-1 4-3 5-4 6-5 7-6 11-10 15-11 16-13 17-13 19-20 20-21 21-16 22-17 23-18 25-22 ,2-2 8-7 8-8 8-9 9-7 9-8 9-9 10-7 10-8 10-9 12-12 13-12 24-19 ,{},{}
McLaren and Zou Jiahua jointly explored the future of trade and technology cooperation between China and Canada .,McLaren and Zhou Jiahua also investigated the prospects of Canada and China 's cooperation in the realms of trade and technology .,mtc-C:608,test,17-21 8-17 9-18 10-19 11-20 0-0 1-1 14-11 16-9 5-5 3-3 2-2 12-13 6-6 ,{},{},{},0-0 1-1 2-2 3-3 5-5 6-6 7-7 8-8 9-18 10-19 11-20 12-13 13-12 14-11 15-10 16-9 17-21 ,{},{},{}
this appointment is made just before a summit meeting to be held in U.S. between Israel and Palestinian leaders about a temporary peace agreement .,the appointment came right before a summit meeting in the United States between the Palestinian and Israeli leaders on a temporary peace agreement .,mtc-C:160,test,24-23 20-19 21-20 22-21 23-22 5-4 6-5 7-6 8-7 13-10 13-11 18-17 17-14 15-16 1-1 12-8 14-12 16-15 ,{},{},{},0-0 1-1 4-3 5-4 6-5 7-6 8-7 12-8 13-10 13-11 14-12 15-16 16-15 17-14 18-17 19-18 20-19 21-20 22-21 23-22 24-23 ,2-2 3-2 ,{},{}
"this newspaper , Paris , February 14th -lrb- reporter Lue Wang -rrb- . Duma , French Foreign Minister , pointed out that France disagreed on the demand to modifying the UN charter allow re-arrangement of the seats of the five permanent standing member countries .",Paris . Feb. 14 . staff reporter Lu Wangda reports : the French Foreign Minister Dumar declared that France will not agree with the demand to amend the UN charter in order to redistribute the seats of the five permanent member states of the UN Security Council .,mtc-C:125,test,44-47 35-34 36-35 37-36 38-37 39-38 40-39 15-12 16-13 17-14 25-23 26-24 27-25 29-27 30-28 31-29 21-17 22-18 34-42 3-0 42-40 43-41 28-26 6-3 8-6 41-31 ,{},{},{},3-0 5-2 6-3 8-6 13-15 15-12 16-13 17-14 19-16 20-16 21-17 22-18 24-22 25-23 26-24 27-25 28-26 29-27 30-28 31-29 35-34 36-35 37-36 38-37 39-38 40-39 42-40 43-41 44-47 ,9-7 10-8 23-19 23-20 23-21 32-30 32-31 32-32 33-33 ,{},{}
then the army drove an armored personnel carrier to save this badly wounded person .,later the military drove a military vehicle to rescue this badly wounded man .,mtc-C:319,test,14-13 10-9 11-10 12-11 3-3 2-2 9-8 13-12 1-1 8-7 4-4 ,{},{},{},0-0 1-1 2-2 3-3 4-4 5-5 5-6 6-5 6-6 7-5 7-6 8-7 9-8 10-9 11-10 12-11 13-12 14-13 ,{},{},{}
"in the 1990s , the cooperation was enhanced .","in 1990s , cooperation between the two sides continued to deepen ,",mtc-C:305,test,2-1 3-2 5-3 7-10 0-0 ,{},{},{},0-0 2-1 3-2 5-3 ,6-8 6-9 6-10 7-8 7-9 7-10 ,{},{}
the Ministry of Finance will centralize the supervision and control of financial and investment companies .,financial and investment companies will be uniformly controlled by the Ministry of Finance .,mtc-C:471,test,15-13 11-0 12-1 13-2 14-3 0-9 1-10 2-11 3-12 9-7 ,{},{},{},0-9 1-10 2-11 3-12 4-4 5-5 5-6 5-7 5-8 6-5 6-6 6-7 6-8 7-5 7-6 7-7 7-8 8-5 8-6 8-7 8-8 9-5 9-6 9-7 9-8 10-5 10-6 10-7 10-8 11-0 12-1 13-2 14-3 15-13 ,{},{},{}
Marchi said that Canada should make human rights a part of Canada 's foreign trade policy .,Marchi indicated that Canada should add human rights as a new factor to its foreign trade policy .,mtc-C:467,test,16-17 13-14 14-15 15-16 2-2 3-3 4-4 6-6 7-7 0-0 1-1 ,{},{},{},0-0 1-1 2-2 3-3 4-4 5-5 5-12 6-6 7-7 8-5 8-12 9-5 9-12 10-5 10-12 12-13 13-14 14-15 15-16 16-17 ,11-3 ,{},{}
on Wednesday a five-member panel of British Law Lords began a hearing on an appeal from a lower divisional court .,"on Wednesday , five public procurators of the House of Lords of Britain began to hold a court on an appeal from a lower court .",mtc-C:157,test,20-25 12-18 13-19 14-20 15-21 16-22 17-23 0-0 1-1 19-24 9-13 6-12 8-10 11-17 10-16 3-3 5-9 ,{},{},{},0-0 1-1 3-3 9-13 12-18 13-19 14-20 15-21 16-22 17-23 19-24 20-25 ,4-4 4-5 4-6 4-7 4-8 4-9 4-10 5-4 5-5 5-6 5-7 5-8 5-9 5-10 6-11 6-12 7-4 7-5 7-6 7-7 7-8 7-9 7-10 8-4 8-5 8-6 8-7 8-8 8-9 8-10 10-14 10-15 10-16 10-17 11-14 11-15 11-16 11-17 ,{},{}
"La Nina means the water temperature on the surface of tropic east pacific is much lower than normal , it 's effect on many regional climates is just the opposite of that of El Nino .","La Nina means that the surface temperature of the water is a lot lower than normal , so that its affect on regional climates is the opposite of that of El Nino .",mtc-C:162,test,35-32 28-25 29-26 30-27 31-28 32-29 33-30 34-31 15-13 16-14 17-15 18-16 0-0 1-1 2-2 24-22 25-23 26-24 7-4 8-5 3-8 4-9 21-20 5-6 14-12 22-21 13-10 19-19 27-18 ,{},{},{},0-0 1-1 2-2 3-4 4-9 5-6 8-5 13-10 14-11 14-12 15-13 16-14 17-15 18-16 19-19 20-19 21-20 22-21 24-22 25-23 26-24 28-25 29-26 30-27 31-28 32-29 33-30 34-31 35-32 ,{},{},{}
the construction of all these projects has been going on smoothly .,the constructions of these projects have been going smoothly .,mtc-C:441,test,11-9 4-3 5-4 7-6 8-7 10-8 1-1 0-0 2-2 6-5 ,{},{},{},0-0 1-1 2-2 4-3 5-4 6-5 7-6 8-7 9-7 10-8 11-9 ,{},{},{}
"in addition , analysts thought that corruptions and poor management are common in government departments and judicial departments that are currently in charge of these state enterprises .","what 's more , analyst said that corruption and mal-managing situations generally lies in government and judicial authorities that are in charge of SOEs .",mtc-C:100,test,27-24 21-20 22-21 23-22 12-13 13-14 15-15 16-16 18-18 19-19 3-4 6-7 25-5 7-8 2-3 5-6 ,{},{},{},0-0 0-1 0-2 1-0 1-1 1-2 2-3 3-4 4-5 5-6 6-7 7-8 10-11 10-12 11-11 11-12 12-13 13-14 15-15 16-16 17-17 18-18 19-19 21-20 22-21 23-22 27-24 ,8-9 9-9 14-17 25-23 26-23 ,{},{}
Pfizer now is considering whether it is needed to put on any ads mentioning Viagra directly .,Pfizer is considering whether it will run any advertisement directly mentioning Viagra .,mtc-C:24,test,16-12 2-1 3-2 4-3 5-4 13-10 14-11 0-0 12-8 11-7 15-9 ,{},{},{},0-0 2-1 3-2 4-3 5-4 9-6 10-6 11-7 12-8 13-10 14-11 15-9 16-12 ,{},{},{}
"however , statistics released by the Immigration Bureau showed that although there were 11,978 new British immigrants coming to Australia between 1996 and 1997 , 3,737 people left the country during the same period .","however , the statistics from Bureau of Immigration show that from 1996 to 1997 , while 11,978 new British immigrants came to Australia , 3,737 people left during the same period of time .",mtc-C:72,test,34-33 13-16 14-17 15-18 16-19 24-23 25-24 26-25 27-26 30-27 31-28 32-29 33-30 0-0 1-1 23-13 18-21 19-22 6-7 7-5 6-6 7-6 8-8 2-3 17-20 21-11 9-9 ,{},{},{},0-0 1-1 2-3 6-7 7-5 9-9 10-15 11-15 12-15 13-16 14-17 15-18 16-19 17-20 18-21 19-22 20-10 21-11 22-12 23-13 24-23 25-24 26-25 27-26 28-26 29-26 30-27 31-28 32-29 33-30 33-31 33-32 34-33 ,3-4 4-4 8-8 ,{},{}
"some analysts thought that , for fear that the high unemplyment rate might cause social turbulance , China might settle the deficit problems in the state-owned enterprises mainly by merging , not by bankruptcy .","some analysts think that because a high unemployment rate may cause social turbulence , China will solve the loss problem of state-owned enterprises in the way of merger instead of bankruptcy .",mtc-C:393,test,34-31 0-0 1-1 13-10 14-11 16-13 17-14 25-21 26-22 23-23 24-24 33-30 19-16 3-3 22-19 2-2 11-8 9-6 15-12 29-27 20-17 7-4 ,{},{},{},0-0 1-1 3-3 5-4 6-4 7-4 9-6 10-7 11-8 12-9 13-10 14-11 15-12 16-13 17-14 19-16 20-17 21-18 22-19 23-20 24-20 25-21 26-22 28-23 28-24 28-25 28-26 29-27 31-28 31-29 32-28 32-29 33-30 34-31 ,2-2 8-5 18-15 ,{},{}
"according to the expert , El Nino phenomenon is now changed into a new one , which is called La Nina .",experts say the El Nino is becoming a new phenomenon called the La Nina .,mtc-C:92,test,21-14 19-12 20-13 5-3 6-4 12-7 13-8 18-10 3-0 7-9 ,{},{},{},3-0 5-3 6-4 7-9 8-5 9-6 10-6 11-6 12-7 13-8 18-10 19-12 20-13 21-14 ,0-1 1-1 ,{},{}
"the discovery is very important to the classification of the dinosaurs from the Xixia , and sheds light onto their zoological habit and reproduction behavior , to restore the original environment in dinosaur ages , to reveal the rules of crust change and environmental evolution on Earth .","this has a very important significance for studies of classification of dinosaur in Xixia area , probe of the dinosaur ecological habit and propagation behavior , restoration of ecological environment of dinosaur times , revelation of the rules of the earth 's crust transition and earth environment evolution etc. .",mtc-C:663,test,47-49 37-36 38-37 39-38 3-3 4-4 7-9 8-10 9-18 21-21 22-22 24-24 25-25 13-13 33-32 30-29 32-31 10-11 27-26 43-46 44-47 46-45 40-42 42-44 34-33 ,{},{},{},2-1 2-2 2-3 2-4 2-5 3-1 3-2 3-3 3-4 3-5 4-1 4-2 4-3 4-4 4-5 5-6 7-9 8-10 10-11 11-12 13-13 13-14 14-15 21-21 22-22 23-23 24-24 25-25 30-29 31-30 32-31 33-32 34-33 37-36 38-37 39-38 40-42 41-43 42-44 43-46 44-47 46-40 47-49 ,0-0 1-0 16-16 16-17 17-16 17-17 18-16 18-17 19-18 20-20 27-26 29-28 36-34 46-45 ,{},{}
"Philippine officials believe that Malaysia is another country , along with China , that is posing a potential threat to the Philippines in the Spratly Islands .","according to Philippines officials , Malaysia is another country , apart from China , that posed potential threat to Philippines in Spratly Islands .",mtc-C:41,test,26-23 4-5 5-6 6-7 7-8 8-9 11-12 12-13 13-14 17-16 18-17 19-18 24-21 25-22 21-19 22-20 15-15 1-3 0-2 ,{},{},{},0-2 1-3 4-5 5-6 6-7 7-8 8-9 9-10 9-11 10-10 10-11 11-12 12-13 13-14 17-16 18-17 19-18 21-19 22-20 24-21 25-22 26-23 ,2-0 2-1 3-0 3-1 14-15 15-15 ,{},{}
"at the Conference of the United Nations and many public occasions in Washington , Chinese Foreign Minister Tang Jiaxuan kept on talking about the issue of Taiwan .","Chinese Foreign Minister Tang Jiaxuan repeatedly raised the Taiwan issue while attending the General Assembly of the United Nations this time , and has done so in numerous public appearances on his visit to Washington .",mtc-C:57,test,27-35 14-0 15-1 16-2 17-3 18-4 3-15 4-16 5-17 6-18 12-34 26-8 24-9 23-7 9-28 8-27 10-20 ,{},{},{},1-12 2-13 2-14 3-15 4-16 5-17 6-18 7-22 8-27 9-28 10-29 11-30 11-31 11-32 11-33 12-34 14-0 15-1 16-2 17-3 18-4 19-5 19-6 20-5 20-6 21-5 21-6 22-5 22-6 23-7 24-9 26-8 27-35 ,0-10 0-11 ,{},{}
this huge banner has an area of 150 meters by 100 meters . it will be made by National Front Youth League in Xue Province who will apply for its entry into the Guinness Book of Records .,"this huge cloth stripe , with an area of 150 meters by 100 meters , will be made by National Front Youth League in Saba province and will apply for World Genius record .",mtc-C:245,test,37-33 14-15 15-16 16-17 17-18 18-19 19-20 20-21 21-22 22-23 4-6 5-7 6-8 7-9 8-10 9-11 10-12 11-13 26-27 27-28 28-29 0-0 1-1 24-25 30-32 ,{},{},{},0-0 1-1 2-2 2-3 4-6 5-7 6-8 7-9 8-10 9-11 10-12 11-13 14-15 15-16 16-17 17-18 18-19 19-20 20-21 21-22 22-23 24-25 26-27 27-28 28-29 36-32 37-33 ,23-24 33-31 ,{},{}
Congressman Kreya Silva said in a letter that Suharto should be extradited because of his violation of human rights in East Timor .,Congressman Clayey Chelwo said in a letter that Suharto should be extradited because of his inhumanity in East Timor .,mtc-C:175,test,22-19 3-3 4-4 5-5 6-6 7-7 8-8 9-9 10-10 11-11 12-12 13-13 14-14 19-16 20-17 21-18 0-0 ,{},{},{},0-0 3-3 4-4 5-5 6-6 7-7 8-8 9-9 10-10 11-11 12-12 13-13 14-14 19-16 20-17 21-18 22-19 ,1-1 2-2 15-15 16-15 17-15 18-15 ,{},{}
"Paul had been to the site of the bombed air-raid shelter , and there were about 400 civilians died .","Bowen had an on-site interview and saw the destroyed bomb-shelter , about 400 civilians had been killed .",mtc-C:281,test,19-17 15-11 16-12 17-13 1-14 2-15 18-16 5-3 10-9 7-7 11-10 ,{},{},{},7-7 8-8 9-9 10-9 11-10 15-11 16-12 17-13 19-17 ,0-0 1-1 1-2 1-3 1-4 1-5 1-6 2-1 2-2 2-3 2-4 2-5 2-6 3-1 3-2 3-3 3-4 3-5 3-6 4-1 4-2 4-3 4-4 4-5 4-6 5-1 5-2 5-3 5-4 5-5 5-6 6-1 6-2 6-3 6-4 6-5 6-6 18-14 18-15 18-16 ,{},{}
"both the Holland government and its industry circles believed that Wuhan was a place with great potentials , and there were a lot of possibilities to cooperate in the areas of traffic , basic installations , agriculture , the sources of energy , etc. .","and Netherlands government and business circles believe that Hubei is a highly potential region , and enjoys the possibilities to cooperate with Netherlands in communication , infrastructure , agriculture , energy and many other fields .",mtc-C:147,test,44-35 24-18 25-19 26-20 35-27 36-28 37-29 3-2 4-3 17-14 18-15 8-6 7-5 6-4 2-1 29-34 10-8 16-12 15-11 41-30 22-32 27-23 9-7 11-9 ,{},{},{},2-1 3-2 4-3 6-4 7-5 9-7 12-10 13-13 17-14 18-15 24-18 25-19 26-20 27-23 28-23 29-23 30-23 32-25 35-27 36-28 37-29 41-30 43-31 43-32 43-33 43-34 44-35 ,8-6 10-8 11-9 15-11 16-12 19-16 20-16 21-17 22-17 23-17 31-24 33-26 34-26 ,{},{}
the two sides held similar talks last month in Pyongyang .,last month similar negotiations were held in Pyongyang .,mtc-C:238,test,10-8 8-6 9-7 6-0 7-1 3-5 5-3 4-2 ,{},{},{},3-5 4-2 5-3 6-0 7-1 8-6 9-7 10-8 ,{},{},{}
